District,School Name,City,Report Period,Total Cases,Academic Year,Date Updated
Andover School District,Andover Elementary School,Andover,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Ansonia School District,P.A.C.E. (Positive And Creative Education),Ansonia,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Ansonia School District,Assumption-Ansonia,Ansonia,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Ansonia School District,Julia Day Nursery Inc.,Ansonia,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Ansonia School District,Mead School,Ansonia,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Ansonia School District,Team Early Education  Center,Ansonia,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Ansonia School District,P.A.C.E. - PM (Positive And Creative Education - PM),Ansonia,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Ansonia School District,Team Early Education Harry Ford Center,Ansonia,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Derby School District,"Disability Resource Network, Inc. - Derby",Derby,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Ansonia School District,Lower Naugatuck Valley School,Ansonia,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Ansonia School District,Valley YMCA Child Care Center,Ansonia,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Ansonia School District,TEAM Early Education - Home Visiting,Ansonia,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Ansonia School District,Prendergast School,Ansonia,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Ansonia School District,Ansonia Public Schools Pre-K Program,Ansonia,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Ansonia School District,Ansonia 18-21 Transition Program,Ansonia,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Ansonia School District,Ansonia Middle School,Ansonia,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Ansonia School District,Ansonia High School,Ansonia,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Ashford School District,Ashford School,Ashford,08/26/2021 - 09/01/2021,<6,2021-2022,9/2/2021
Avon School District,Avon Early Learning Center at Roaring Brook School,Avon,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Avon School District,Farmington Valley Academy Montessori,Avon,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Avon School District,Roaring Brook School,Avon,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Avon School District,Pine Grove School,Avon,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Avon School District,Thompson Brook School,Avon,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Avon School District,Avon Middle School,Avon,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Avon School District,Avon High School,Avon,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Avon School District,Avon Old Farms School,Avon,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Avon School District,The Webb School in the Valley,Avon,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Avon School District,Oak Hill School at Farmington Valley Montessori,Avon,08/26/2021 - 09/01/2021,<6,2021-2022,9/2/2021
Barkhamsted School District,Barkhamsted Elementary School,Barkhamsted,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Barkhamsted School District,Bridges at Barkhamsted Elementary School,Barkhamsted,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Barkhamsted School District,Shared Services Integrated Preschool,Barkhamsted,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Berlin School District,Richard D. Hubbard School,East Berlin,08/26/2021 - 09/01/2021,<6,2021-2022,9/2/2021
Berlin School District,Transition Academy,Berlin,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Berlin School District,Emma Hart Willard School,Berlin,08/26/2021 - 09/01/2021,<6,2021-2022,9/2/2021
Berlin School District,Mary E. Griswold School,Berlin,08/26/2021 - 09/01/2021,<6,2021-2022,9/2/2021
Berlin School District,Catherine M. McGee Middle School,Berlin,08/26/2021 - 09/01/2021,<6,2021-2022,9/2/2021
Berlin School District,Saint Paul School,Berlin,08/26/2021 - 09/01/2021,<6,2021-2022,9/2/2021
Berlin School District,Berlin High School,Berlin,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bethany School District,Bethany Community School,Bethany,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bethel School District,Frank A. Berry School,Bethel,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bethel School District,Saint Mary School-Bethel,Bethel,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bethel School District,YMCA Children's Center,Bethel,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bethel School District,Ability Beyond,Bethel,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bethel School District,Community Partnership Program,Bethel,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bethel School District,TASK,Bethel,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bethel School District,Anna H. Rockwell School,Bethel,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bethel School District,Ralph M. T. Johnson School,Bethel,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bethel School District,Bethel Middle School,Bethel,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bethel School District,Bethel High School,Bethel,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bethlehem School District,The Woodhall School,Bethlehem,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bethlehem School District,Arch Bridge School,Bethlehem,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bethlehem School District,"Employment Options, LLC",Bethlehem,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bloomfield School District,Steps to Success,Bloomfield,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bloomfield School District,Bloomfield Early Learning Center Inc.,Bloomfield,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bloomfield School District,First Congregational Church Nursery School,Bloomfield,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bloomfield School District,CRT Eric D Coleman ECE Center,Bloomfield,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bloomfield School District,"Village for Families and Children, Bloomfield - Home Visiting",Bloomfield,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bloomfield School District,Metacomet School,Bloomfield,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bloomfield School District,The First Academy,Bloomfield,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bloomfield School District,Laurel School,Bloomfield,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bloomfield School District,Carmen Arace Intermediate School,Bloomfield,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
Bloomfield School District,Wintonbury Early Childhood Magnet School,Bloomfield,08/26/2021 - 09/01/2021,0,2021-2022,9/2/2021
